
Register Write Information after SystemClockInit function execution:
Oscillator: internal
PLL: used 
PLL freq: 320 MHZ
desired frequency: 40 MHZ

Name	Value	Access	
SYSCTLDID0	0x100a'0002	ReadWrite	
SYSCTLDID1	0x1032'e076	ReadWrite	
SYSCTLPTBOCTL	0x0000'0003	ReadWrite	
SYSCTLRIS	0x0000'0040	ReadWrite	
     SYSCTL_RIS_MOSCPUPRIS	0	WriteOnly	
     SYSCTL_RIS_PLLLRIS	1	WriteOnly	
     SYSCTL_RIS_MOFRIS	0	WriteOnly	
     SYSCTL_RIS_BORRIS	0	WriteOnly	
SYSCTLIMC	0x0000'0000	ReadWrite	
SYSCTLMISC	0x0000'0000	ReadWrite	
SYSCTLRESC	0x0000'0012	ReadWrite	
SYSCTLPWRTC	0x0000'0000	ReadWrite	
SYSCTLNMIC	0x0000'0000	ReadWrite	
SYSCTLMOSCCTL	0x0000'000c	ReadWrite	
SYSCTLRSCLKCFG	0x1000'0001	ReadWrite	
     SYSCTL_RSCLKCFG_MEMTIMU	0	WriteOnly	
     SYSCTL_RSCLKCFG_NEWFREQ	0	WriteOnly	
     SYSCTL_RSCLKCFG_ACG	0	WriteOnly	
     SYSCTL_RSCLKCFG_USEPLL	1	WriteOnly	
     SYSCTL_RSCLKCFG_PLLSRC	0x0	WriteOnly	
     SYSCTL_RSCLKCFG_OSCSRC	0x0	WriteOnly	
     SYSCTL_RSCLKCFG_OSYSDIV	0x00	WriteOnly	
     SYSCTL_RSCLKCFG_PSYSDIV	0x01	WriteOnly	
SYSCTLMEMTIM0	0x0091'0091	ReadWrite	
     SYSCTL_MEMTIM0_EBCHT	0x2	WriteOnly	
     SYSCTL_MEMTIM0_EBCE	0	WriteOnly	
     SYSCTL_MEMTIM0_EWS	0x1	WriteOnly	
     SYSCTL_MEMTIM0_FBCHT	0x2	WriteOnly	
     SYSCTL_MEMTIM0_FBCE	0	WriteOnly	
     SYSCTL_MEMTIM0_FWS	0x1	WriteOnly	
SYSCTLDSMEMTIM0	0x0000'0000	ReadWrite	
SYSCTLALTCLKCFG	0x0000'0000	ReadWrite	
SYSCTLDSCLKCFG	0x0000'0000	ReadWrite	
SYSCTLDIVSCLK	0x0000'0000	ReadWrite	
SYSCTLSYSPROP	0x0003'1f31	ReadWrite	
SYSCTLPIOSCCAL	0x0000'0000	ReadWrite	
SYSCTLPIOSCSTAT	0x002f'002f	ReadWrite	
SYSCTLPLLFREQ0	8'388'628	ReadWrite	
     SYSCTL_PLLFREQ0_PLLPWR	1	WriteOnly	
     SYSCTL_PLLFREQ0_MFRAC	0x00	WriteOnly	
     SYSCTL_PLLFREQ0_MINT	0x14	WriteOnly	
SYSCTLPLLFREQ1	0x0000'0300	ReadWrite	
SYSCTLPLLSTAT	0x0000'0001	ReadWrite	
     SYSCTL_PLLSTAT_LOCK	1	WriteOnly	
SYSCTLNVMSTAT	0x0000'0001	ReadWrite	
SYSCTLRESBEHAVCTL	0xffff'ffff	ReadWrite	
SYSCTLHSSR	0x0000'0000	ReadWrite	
SYSCTLUSBPDS	0x0000'003f	ReadWrite	
SYSCTLUSBMPC	0x0000'0003	ReadWrite	
SYSCTLEMACPDS	0x0000'003f	ReadWrite	
SYSCTLEMACMPC	0x0000'0003	ReadWrite	
SYSCTLLCDMPC	0x0000'0003	ReadWrite	
SYSCTLPPWD	0x0000'0003	ReadWrite	
SYSCTLPPGPIO	0x0003'ffff	ReadWrite	
SYSCTLPPDMA	0x0000'0001	ReadWrite	
SYSCTLPPEPI	0x0000'0001	ReadWrite	
SYSCTLPPHIB	0x0000'0001	ReadWrite	
SYSCTLPPUART	0x0000'00ff	ReadWrite	
SYSCTLPPSSI	0x0000'000f	ReadWrite	
SYSCTLPPI2C	0x0000'03ff	ReadWrite	
SYSCTLPPUSB	0x0000'0001	ReadWrite	
SYSCTLPPEPHY	0x0000'0001	ReadWrite	
SYSCTLPPCAN	0x0000'0003	ReadWrite	
SYSCTLPPADC	0x0000'0003	ReadWrite	
SYSCTLPPACMP	0x0000'0001	ReadWrite	
SYSCTLPPPWM	0x0000'0001	ReadWrite	
SYSCTLPPQEI	0x0000'0001	ReadWrite	
SYSCTLPPLPC	0x0000'0000	ReadWrite	
SYSCTLPPPECI	0x0000'0000	ReadWrite	
SYSCTLPPFAN	0x0000'0000	ReadWrite	
SYSCTLPPEEPROM	0x0000'0001	ReadWrite	
SYSCTLPPWTIMER	0x0000'0000	ReadWrite	
SYSCTLPPRTS	0x0000'0000	ReadWrite	
SYSCTLPPCCM	0x0000'0001	ReadWrite	
SYSCTLPPLCD	0x0000'0001	ReadWrite	
SYSCTLPPOWIRE	0x0000'0001	ReadWrite	
SYSCTLPPEMAC	0x0000'0001	ReadWrite	
SYSCTLPPPRB	0x0000'0000	ReadWrite	
SYSCTLPPHIM	0x0000'0000	ReadWrite	
SYSCTLSRWD	0x0000'0000	ReadWrite	
SYSCTLSRTIMER	0x0000'0000	ReadWrite	
SYSCTLSRGPIO	0x0000'0000	ReadWrite	
SYSCTLSRDMA	0x0000'0000	ReadWrite	
SYSCTLSREPI	0x0000'0000	ReadWrite	
SYSCTLSRHIB	0x0000'0000	ReadWrite	
SYSCTLSRUART	0x0000'0000	ReadWrite	
SYSCTLSRSSI	0x0000'0000	ReadWrite	
SYSCTLSRI2C	0x0000'0000	ReadWrite	
SYSCTLSRUSB	0x0000'0000	ReadWrite	
SYSCTLSREPHY	0x0000'0000	ReadWrite	
SYSCTLSRCAN	0x0000'0000	ReadWrite	
SYSCTLSRADC	0x0000'0000	ReadWrite	
